name,lat,lon
Bäumlisächer,47.3423966,8.4699864
Landikon Bach,47.3522187,8.4617219
Obere Risi,47.359019,8.4508913
Obere Risi,47.3595015,8.4507283
Unteralbis,47.2858901,8.5279152
Dielsdorf Bahnhof,47.4830448,8.4588143
Strick,47.2971627,8.7821488
Dorfzentrum,47.4813922,8.4536401
Musterplatz,47.5312837,8.4661524
Neuwis-Huus,47.5341417,8.4699686
Windlach Kreuz,47.5386835,8.471212
Nürensdorferstrasse,47.4408163,8.6705439
Oberrieden Dorf Bahnhof,47.2770279,8.5770997
Langnau a.A. Dorf,47.2885485,8.538807
Glattfelden Bahnhof,47.5488395,8.5243037
Schulhaus Hof,47.5588367,8.5025245
Campus Rothus,47.2248322,8.6798134
Neerach Post,47.5130093,8.4748839
Schwerzi-Wildpark,47.2880992,8.5329846
Schloss,47.3246884,8.7984657
Oberwetzikon,47.326769,8.7998414
Bahnhof Oberwinterthur,47.5066129,8.7582402
Dorfmitti,47.3668524,8.8767216
Heizenholz,47.4121445,8.4838327
Frankental,47.405408,8.4817752
Bahnhof Wiedikon,47.3712202,8.5238507
Oberkempttal,47.4307088,8.7055839
Bussenhausen,47.372838,8.7816392
Strassenverkehrsamt,47.3531622,8.5115423
Dillhus,47.3807745,8.8592967
Halden,47.3853191,8.7589485
Buchs-Dällikon Bahnhof,47.4530495,8.4374628
"Grüningen, Stedtli",47.2840209,8.7624572
Hegnau,47.3883812,8.6762036
Hegnau,47.3884074,8.6762475
Zimikon,47.3853673,8.6726344
Zimikon,47.3850954,8.6722832
In der Höh,47.385254,8.6676713
In der Höh,47.3851603,8.6694533
Chammwisen,47.3882801,8.6774571
Chrummacher,47.3795109,8.6831319
Petermoos,47.4575861,8.4429127
Buchs-Dällikon Bahnhof,47.4533353,8.437446
Buchs Post,47.4566575,8.4375791
Isikon,47.3766795,8.8134372
Zelgli,47.3949272,8.753905
Wilhof,47.3849977,8.7784032
Russikon Gemeindehaus,47.3946485,8.7766082
Weisslingerstrasse,47.407943,8.7267904
Sulzberg,47.3798635,8.7818658
Sulzberg,47.3798138,8.7819153
Elgg,47.4984794,8.8633303
Hittnau Oberdorf,47.3671991,8.8263969
Luppmen,47.3634925,8.8302506
Faichrüti,47.3598349,8.7591256
Langmoos,47.2830012,8.5344309
Schalchen,47.407299,8.8283654
Hermatswil,47.3943623,8.8262072
Widum,47.3307859,8.796518
Bahnhof Oerlikon Ost,47.4134129,8.5462785
Leutschenbach,47.4142575,8.551691
Triemli,47.3680937,8.4956728
Eselriet,47.4242429,8.700378
Morgenthal,47.3914468,8.7708699
Juckeren,47.386185,8.8571092
Tablat,47.4114942,8.8597481
Steinacher,47.4117968,8.7136937
Buhnstrasse,47.4223963,8.5386247
Buhnstrasse,47.4225627,8.5386758
Goldbrunnenplatz,47.3704254,8.5137412
Signaustrasse,47.3632976,8.5575017
Schwimmbad Töss,47.4847484,8.7062943
Klusplatz,47.3639417,8.5665176
Loorenstrasse,47.3596969,8.5937689
Birmensdorferstrasse,47.397706,8.4172539
Dörfli,47.4006449,8.4062585
Aspholz,47.4249065,8.5012306
Mühlacker,47.4261662,8.4962068
Blumenfeldstrasse,47.4237781,8.5052572
Zehntenhausplatz,47.4188445,8.5070599
Bahnhof Affoltern,47.4214333,8.5075207
Heuwinkelstrasse,47.3697005,8.6831045
Heuwinkelstrasse,47.3689664,8.6819997
Grossriet,47.3740035,8.6809005
Grossriet,47.3741229,8.6806415
Milandia,47.3781685,8.674295
Tumigerstrasse,47.3660553,8.6800007
Städtli,47.365358,8.6782007
Im Hof,47.3646987,8.6808199
Pfisterhölzli,47.3644288,8.6906565
Hofwisen,47.381177,8.672963
Hofwisen,47.3810803,8.6730189
Volkiland Chliriet,47.3819903,8.6671207
Volkiland Chliriet,47.3818473,8.6679107
Seegräben Gemeindehaus,47.3436291,8.7694881
Fracht,47.4525605,8.5721091
Altes Krematorium,47.3777084,8.5073374
Wisental,47.4779915,8.554919
Wisental,47.4778582,8.5550417
Bickwil,47.2697274,8.4284156
Hölibachstrasse,47.2692736,8.4334335
Strick,47.356325,8.7128506
Brandschenke,47.3604708,8.7109403
Belvoir,47.3070713,8.5486551
Toussen,47.263882,8.4302658
Alte Post,47.261991,8.4201974
Unterlunnern,47.2629935,8.4100943
Reithalle,47.3565001,8.7269779
Weidli,47.3539285,8.7305703
Himmelriich,47.3567057,8.7297268
Bordacker,47.3519332,8.7292904
Wageren,47.3519304,8.7271026
Talweg,47.3484199,8.7308536
Hegetsberg,47.3493138,8.733183
Oberuster,47.3451828,8.7309363
Florastrasse,47.3465906,8.7266987
"Uster, Florastrasse",47.3466462,8.7262222
Grafstal Unterdorf,47.4452364,8.7013841
Engelacher,47.4421749,8.70039
Vogelbuckstrasse,47.4346712,8.6835202
Brüttenerstrasse,47.4319773,8.6859913
Ettenhusen,47.4489819,8.7378372
Kyburg Dorf,47.4572014,8.7445249
Grossenacher,47.382538,8.7172904
Gutenswil Sternen,47.3853384,8.7188287
Gutenswil Unterdorf,47.3848795,8.7138693
Giessen,47.3887577,8.6966226
Volketswil Dorf,47.3896036,8.6928728
Botanischer Garten,47.3592929,8.558009
Frohwies,47.3682465,8.7815316
Kreuzplatz,47.3648829,8.5540328
Matten,47.3701986,8.7771097
Bachtelstrasse,47.3253068,8.8079907
Hörnlistrasse,47.3708544,8.7856833
Halten,47.2713516,8.6573034
Hohenegg,47.2739951,8.6609209
Bundi,47.2812134,8.6670944
Obermeilen,47.2649105,8.654519
Dollikon,47.2641625,8.6628794
Schulhaus Obermeilen,47.2677994,8.6560802
Alte Sonne,47.2665704,8.6565936
Drei Eichen,47.1922536,8.6803367
Frohberg,47.199465,8.6873327
Im Walder,47.1942935,8.6785648
Fälmis,47.1901032,8.6776605
Samstagern Bahnhof,47.1918789,8.6855836
Beerimoos,47.3303851,8.4799223
Hermannsweid,47.2011514,8.7079251
Langhaldenstrasse,47.3061049,8.5511479
Roren,47.2829051,8.6699776
Leimgrübelstrasse,47.4286851,8.5441308
Nauen,47.2706275,8.8525657
Rüti Bahnhof,47.2600532,8.8548695
Medikon/Kulti,47.3251252,8.7862125
Haldenstrasse,47.3274784,8.785173
Oberdürnten,47.2793209,8.8603982
Oberdürnten,47.2791285,8.8604409
Langacher,47.2785966,8.8642112
Langacher,47.2781874,8.8656573
J.C. Heerstrasse,47.275158,8.8747324
Blatt,47.273736,8.8556609
Blatt,47.2738616,8.8557446
Nauen,47.2704959,8.8526478
Rothus,47.2770555,8.8347478
Rothus,47.2770422,8.834534
Dürnten Kirche,47.2778743,8.8444166
Dürnten Kirche,47.2783841,8.8431039
Bubikon Bahnhof,47.2706099,8.8227081
Bubikon Bahnhof,47.2710346,8.8221559
Tafleten,47.2748761,8.8228648
Tafleten,47.2747261,8.8216464
Etzelstrasse,47.2773687,8.840647
Etzelstrasse,47.2772837,8.8408534
Sonnenberg,47.2658952,8.8522134
Sonnenberg,47.2668312,8.8529787
Härtiplatz,47.2608487,8.8516126
Härtiplatz,47.2606346,8.8513639
Gstalden,47.3006209,8.8443723
Gstalden,47.3005423,8.8445398
Hinwil Sportplatz,47.2968565,8.8495562
Hinwil Sportplatz,47.2972277,8.8490415
Zelgacher,47.2891003,8.8550196
Hadlikon,47.288075,8.8564636
Hadlikon,47.2870199,8.8565268
Apothekerstrasse,47.3462038,8.7151354
Talacker,47.3436813,8.7163508
Talacker,47.3431373,8.7158892
Riedikon Dorf,47.3323593,8.7114883
Riedikon Dorf,47.3321457,8.711235
Pumpwerkstrasse,47.446122,8.4622908
Haldensteig,47.4489999,8.4710694
Waserstrasse,47.3583233,8.5843875
Berghaldenstrasse,47.3586144,8.589833
Ringlikon Dorf,47.3583688,8.4694677
Breitenmattstrasse,47.2777201,8.8707582
Breitenmattstrasse,47.2775858,8.8708074
Römertor,47.5106858,8.7585035
Niederuster,47.3446245,8.7022154
Niederuster,47.3444796,8.7021644
Burgreben,47.3439987,8.7168045
Zentralstrasse,47.3471078,8.7178463
Stadthaus,47.3477492,8.7192764
Bachtelstrasse,47.5094391,8.7230154
Bahnhofplatz/HB,47.3773089,8.539545
Chinagarten,47.3543515,8.5530924
Bahnhof Tiefenbrunnen,47.3497448,8.5610859
Felbenstrasse,47.3429902,8.5698621
Dufourplatz,47.3402583,8.572686
Goldhaldenplatz,47.3348835,8.5776655
Autobahn,47.5117808,8.6893525
Höschgasse,47.3580171,8.5542426
Sunnau,47.3259325,8.5301853
Dorfplatz,47.315029,8.467547
Chrummacher,47.3799177,8.6836963
Hegi im Gern,47.505244,8.776726
Hegi im Gern,47.5052522,8.7769141
Central,47.3769077,8.5436082
Central,47.3771991,8.5432284
Albispasshöhe,47.2758602,8.5212933
Milchbuck,47.3976817,8.5416116
Gewerbeschule,47.4977305,8.7321217
Zentralstrasse,47.3470156,8.7176292
Im Hölzli,47.3393706,8.7142648
Im Hölzli,47.3395225,8.7145261
Wangen Oberdorf,47.4079016,8.6459059
Jugendhaus,47.3495624,8.7118872
Jugendhaus,47.3504868,8.7129935
Auf Dorf,47.256876,8.7042715
Schmiede Wiedikon,47.3697848,8.5187857
Chammwisen,47.3879177,8.6777082
Gries,47.3856487,8.6795411
Bahnhof Kilchberg,47.3245141,8.5481967
Weinbergstrasse,47.3324833,8.5435927
Weinbergstrasse,47.3321669,8.5429735
Stadtgrenze,47.3348609,8.5417412
Stadtgrenze,47.3352703,8.5411668
Hofstetterstrasse,47.481734,8.4928361
Hofstetterstrasse,47.4817633,8.4929979
"Uster, Linde",47.3444542,8.7336301
Linde,47.3444268,8.7334822
Rütihof,47.4137174,8.4773168
Heizenholz,47.4124346,8.4837836
Heizenholz,47.4123095,8.4838578
Segantinistrasse,47.4078828,8.4895177
Segantinistrasse,47.4072192,8.490192
Singlistrasse,47.4055889,8.4924274
Singlistrasse,47.4053866,8.49284
Meierhofplatz,47.4026276,8.4996661
Meierhofplatz,47.4026261,8.4994761
Schwert,47.3997146,8.5048324
Schwert,47.3997254,8.5048077
Lehenstrasse,47.3961586,8.5206541
Lehenstrasse,47.3960881,8.520913
Widmerstrasse,47.3368212,8.5329609
Dangelstrasse,47.3344193,8.5299772
Morgental,47.3431585,8.5305012
Bellevue,47.3667612,8.5460093
Bellevue,47.366473,8.5448259
Kirche Fluntern,47.3772356,8.5590411
Tobelhof,47.3828607,8.585741
Hohenklingensteig,47.4010404,8.4909798
Winzerstrasse Süd,47.4028034,8.4866467
Winzerstrasse Süd,47.4034242,8.4861438
Kehlhof,47.2340628,8.7366055
Bahnhof Oerlikon Ost,47.4134347,8.545854
Waffenplatz-/Bederstrasse,47.3616499,8.5264684
Waffenplatzstrasse,47.3607122,8.5256577
Brunau/Mutschellenstrasse,47.3540092,8.5261554
Wollishoferplatz,47.338711,8.530568
Grubenstrasse,47.3627897,8.5117301
Räffelstrasse,47.3631351,8.5144788
Räffelstrasse,47.3627308,8.5155963
Binz,47.3630196,8.5182822
Binz,47.3629382,8.5184857
Friesenberg,47.3645715,8.5081323
Friesenberg,47.3644215,8.507914
Bucheggplatz,47.3980176,8.533518
Bucheggplatz,47.3983345,8.5333981
Bucheggplatz,47.3983285,8.5330835
Bucheggplatz,47.3981482,8.5332336
Bucheggplatz,47.3985432,8.5330941
Bucheggplatz,47.3984416,8.5330432
Lerchenhalde,47.411566,8.5101188
Lerchenhalde,47.411748,8.5091859
ETH Hönggerberg,47.4086351,8.50797
ETH Hönggerberg,47.4084185,8.5074334
ETH Hönggerberg,47.4089603,8.508218
Krone,47.2414909,8.7230454
Neugut Süd,47.4027299,8.6018144
Neugut Süd,47.4027401,8.6014476
Hoffnung,47.395976,8.6002218
Bahnhof Hardbrücke,47.3848991,8.5167746
Kappeli,47.3844071,8.49486
Kappeli,47.3841212,8.4944121
Bristenstrasse,47.3901794,8.4872235
Bristenstrasse,47.3898929,8.4868199
Langensteinenstrasse,47.3925207,8.5498544
Schäppiweg,47.3898696,8.5514294
Schäppiweg,47.3899513,8.5508771
Germaniastrasse,47.3871786,8.5525786
Nordstrasse,47.3885098,8.5359412
Klusplatz,47.363816,8.5667427
Seuzach Gemeindehaus,47.5366537,8.7297331
Birchdörfli,47.4072151,8.5309004
Wiesendangen Gemeindehaus,47.5223304,8.7891873
Waffenplatzstrasse,47.3610721,8.525153
Eggbühl,47.405515,8.4742781
Lanzrain,47.4073372,8.4679811
Riethofstrasse,47.4366922,8.5693176
Florastrasse,47.4119018,8.5966294
Sportanlage Heerenschürli,47.4043788,8.5957862
Sportanlage Heerenschürli,47.4045942,8.5954874
Sihlcity,47.3582226,8.523188
Dübendorferstrasse,47.4130157,8.6202202
Aegert,47.4119882,8.6215695
Aegert,47.4120846,8.6214423
Unterdorf,47.3989286,8.6176955
Unterdorf,47.3987818,8.6180586
Im Grund,47.4016229,8.6176851
Zwinggarten,47.4036372,8.6193081
Zwinggarten,47.4043734,8.6197202
Brüttisellen Zentrum,47.4239093,8.6308377
Haldenbrücke,47.4189424,8.6313358
Haldenbrücke,47.4188699,8.6314044
Weidli,47.4123164,8.6402597
Weidli,47.412554,8.6394983
Dürrbach,47.4081494,8.6377499
Dübendorf Bahnhof Nord,47.4007176,8.6244344
EMPA,47.4015956,8.6121306
EMPA,47.4021438,8.6109938
Campus Grüental,47.2184245,8.6775236
"Gossau ZH, Ernst-Brugger-Platz",47.3017657,8.7630625
Ziegelhütte,47.4530892,8.4661293
Mittelleimbach,47.3231047,8.5142713
Baldernstrasse,47.3208433,8.5155625
Phonak,47.2393248,8.7435618
Mies,47.239073,8.7386926
Stäfa Dorf,47.2392514,8.7356189
Landi,47.2408175,8.7323441
Obstgarten,47.2411928,8.7303424
Tränkebachstrasse,47.242183,8.7271002
Krone,47.2414686,8.7228481
Phonak,47.2392342,8.7434621
Lerchenhalde,47.4119648,8.5097623
Zehntenhausplatz,47.4194475,8.5066302
Lerchenrain,47.4140104,8.5095056
Lerchenrain,47.4140884,8.5096119
Schumacherweg,47.4121122,8.5139808
Schumacherweg,47.4122842,8.515467
Oberembrach Dorf,47.4871199,8.6192466
